,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
10,2020-04-18,2.5,7,0.3,▲,0.0,13.6,2.0,35.0
11,2020-04-19,2.4,6,-0.1,▼,-1.0,-4.0,-1.0,41.0
12,2020-04-20,2.4,2,0.0,-,-1.0,0.0,-4.0,43.0
13,2020-04-21,2.5,2,0.1,▲,0.0,4.2,0.0,45.0
14,2020-04-22,2.4,1,-0.1,▼,-1.0,-4.0,-1.0,46.0
15,2020-04-23,2.3,1,-0.1,▼,-2.0,-4.2,0.0,47.0
16,2020-04-27,2.3,4,0.0,-,-2.0,0.0,3.0,51.0
17,2020-05-01,2.3,5,0.0,-,-2.0,0.0,1.0,56.0
18,2020-05-02,2.2,6,-0.1,▼,-3.0,-4.3,1.0,62.0
19,2020-05-03,2.1,4,-0.1,▼,-4.0,-4.5,-2.0,66.0
20,2020-05-05,2.1,3,0.0,-,-4.0,0.0,-1.0,69.0
21,2020-05-06,2.2,2,0.1,▲,-3.0,4.8,-1.0,71.0
22,2020-05-08,2.2,1,0.0,-,-3.0,0.0,-1.0,72.0
23,2020-05-10,2.0,1,-0.2,▼,-4.0,-9.1,0.0,73.0
24,2020-05-11,2.1,4,0.1,▲,-3.0,5.0,3.0,77.0
25,2020-05-13,2.1,1,0.0,-,-3.0,0.0,-3.0,78.0
26,2020-05-15,1.8,1,-0.3,▼,-4.0,-14.3,0.0,79.0
27,2020-05-16,1.8,1,0.0,-,-4.0,0.0,0.0,80.0
28,2020-05-17,1.8,1,0.0,-,-4.0,0.0,0.0,81.0
29,2020-05-19,1.7,2,-0.1,▼,-5.0,-5.6,1.0,83.0
30,2020-05-20,1.5,2,-0.2,▼,-6.0,-11.8,0.0,85.0
31,2020-05-22,2.1,1,0.6,▲,-5.0,40.0,-1.0,86.0
32,2020-05-23,2.1,1,0.0,-,-5.0,0.0,0.0,87.0
33,2020-05-25,2.1,2,0.0,-,-5.0,0.0,1.0,89.0
34,2020-05-27,2.1,3,0.0,-,-5.0,0.0,1.0,92.0
35,2020-05-29,2.3,1,0.2,▲,-4.0,9.5,-2.0,93.0
36,2020-05-30,1.9,3,-0.4,▼,-5.0,-17.4,2.0,96.0
37,2020-05-31,1.9,1,0.0,-,-5.0,0.0,-2.0,97.0
38,2020-06-01,1.7,1,-0.2,▼,-6.0,-10.5,0.0,98.0
39,2020-06-02,1.7,3,0.0,-,-6.0,0.0,2.0,101.0
40,2020-06-03,1.9,2,0.2,▲,-5.0,11.8,-1.0,103.0
41,2020-06-06,2.1,1,0.2,▲,-4.0,10.5,-1.0,104.0
42,2020-06-07,2.1,2,0.0,-,-4.0,0.0,1.0,106.0
43,2020-06-09,2.4,2,0.3,▲,-3.0,14.3,0.0,108.0
44,2020-06-10,2.9,1,0.5,▲,-2.0,20.8,-1.0,109.0
45,2020-06-13,2.7,1,-0.2,▼,-3.0,-6.9,0.0,110.0
46,2020-06-14,2.6,11,-0.1,▼,-4.0,-3.7,10.0,121.0
47,2020-06-17,2.6,1,0.0,-,-4.0,0.0,-10.0,122.0
48,2020-06-19,2.5,1,-0.1,▼,-5.0,-3.8,0.0,123.0
