,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-05-07,50.2,144,-1.9,▼,-51.0,-3.6,16.0,16766.0,ivara_prime_set
19,2020-05-07,31.6,87,-0.1,▼,-38.0,-0.3,-83.0,12414.0,wukong_prime_set
23,2020-05-07,80.0,67,0.0,-,-38.0,0.0,-14.0,7982.0,nekros_prime_set
46,2020-05-07,87.4,34,-1.5,▼,-37.0,-1.7,4.0,3899.0,aksomati_prime_set
26,2020-05-07,51.6,59,-2.4,▼,-36.0,-4.4,17.0,5254.0,baza_prime_set
3,2020-05-07,35.9,129,0.0,-,-28.0,0.0,-11.0,11636.0,mesa_prime_set
25,2020-05-07,30.4,105,-1.0,▼,-25.0,-3.2,50.0,11075.0,atlas_prime_set
22,2020-05-07,39.9,43,-0.2,▼,-24.0,-0.5,7.0,4510.0,oberon_prime_set
7,2020-05-07,36.0,112,4.2,▲,-20.0,13.2,-8.0,9274.0,chroma_prime_set
1,2020-05-07,33.8,82,-0.5,▼,-18.0,-1.5,-16.0,9281.0,equinox_prime_set
