,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-05-07,50.2,144,-1.9,▼,-51.0,-3.6,16.0,16766.0,ivara_prime_set
3,2020-05-07,35.9,129,0.0,-,-28.0,0.0,-11.0,11636.0,mesa_prime_set
7,2020-05-07,36.0,112,4.2,▲,-20.0,13.2,-8.0,9274.0,chroma_prime_set
25,2020-05-07,30.4,105,-1.0,▼,-25.0,-3.2,50.0,11075.0,atlas_prime_set
155,2020-05-07,30.4,89,0.0,-,-11.0,0.0,15.0,3377.0,augur_secrets
19,2020-05-07,31.6,87,-0.1,▼,-38.0,-0.3,-83.0,12414.0,wukong_prime_set
1,2020-05-07,33.8,82,-0.5,▼,-18.0,-1.5,-16.0,9281.0,equinox_prime_set
4,2020-05-07,153.8,69,-1.9,▼,26.0,-1.2,20.0,4827.0,ember_prime_set
10,2020-05-07,110.4,68,0.0,-,12.0,0.0,4.0,6218.0,trinity_prime_set
23,2020-05-07,80.0,67,0.0,-,-38.0,0.0,-14.0,7982.0,nekros_prime_set
