,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,46.5,53,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,46.2,61,-0.3,▼,-1.0,-0.6,8.0,61.0
2,2020-01-15,46.3,34,0.1,▲,0.0,0.2,-27.0,95.0
3,2020-01-16,47.1,42,0.8,▲,1.0,1.7,8.0,137.0
4,2020-01-17,47.3,51,0.2,▲,2.0,0.4,9.0,188.0
5,2020-01-18,46.8,58,-0.5,▼,1.0,-1.1,7.0,246.0
6,2020-01-19,46.6,55,-0.2,▼,0.0,-0.4,-3.0,301.0
7,2020-01-20,47.1,25,0.5,▲,1.0,1.1,-30.0,326.0
8,2020-01-21,46.3,50,-0.8,▼,0.0,-1.7,25.0,376.0
9,2020-01-22,45.6,52,-0.7,▼,-1.0,-1.5,2.0,428.0
10,2020-01-23,45.1,42,-0.5,▼,-2.0,-1.1,-10.0,470.0
11,2020-01-24,45.3,52,0.2,▲,-1.0,0.4,10.0,522.0
12,2020-01-25,44.3,49,-1.0,▼,-2.0,-2.2,-3.0,571.0
13,2020-01-26,44.3,53,0.0,-,-2.0,0.0,4.0,624.0
14,2020-01-27,44.8,47,0.5,▲,-1.0,1.1,-6.0,671.0
15,2020-01-28,45.8,54,1.0,▲,0.0,2.2,7.0,725.0
16,2020-01-29,46.6,23,0.8,▲,1.0,1.7,-31.0,748.0
17,2020-01-30,47.4,65,0.8,▲,2.0,1.7,42.0,813.0
18,2020-01-31,47.4,52,0.0,-,2.0,0.0,-13.0,865.0
19,2020-02-01,47.9,56,0.5,▲,3.0,1.1,4.0,921.0
20,2020-02-02,47.3,63,-0.6,▼,2.0,-1.3,7.0,984.0
21,2020-02-03,47.3,42,0.0,-,2.0,0.0,-21.0,1026.0
22,2020-02-04,47.4,34,0.1,▲,3.0,0.2,-8.0,1060.0
23,2020-02-05,48.1,33,0.7,▲,4.0,1.5,-1.0,1093.0
24,2020-02-06,48.1,51,0.0,-,4.0,0.0,18.0,1144.0
25,2020-02-07,48.7,52,0.6,▲,5.0,1.2,1.0,1196.0
26,2020-02-08,47.9,59,-0.8,▼,4.0,-1.6,7.0,1255.0
27,2020-02-09,48.1,52,0.2,▲,5.0,0.4,-7.0,1307.0
28,2020-02-10,47.7,51,-0.4,▼,4.0,-0.8,-1.0,1358.0
29,2020-02-11,47.9,67,0.2,▲,5.0,0.4,16.0,1425.0
30,2020-02-12,47.9,38,0.0,-,5.0,0.0,-29.0,1463.0
31,2020-02-13,48.9,46,1.0,▲,6.0,2.1,8.0,1509.0
32,2020-02-14,48.5,83,-0.4,▼,5.0,-0.8,37.0,1592.0
33,2020-02-15,48.7,83,0.2,▲,6.0,0.4,0.0,1675.0
34,2020-02-16,48.7,62,0.0,-,6.0,0.0,-21.0,1737.0
35,2020-02-17,48.5,33,-0.2,▼,5.0,-0.4,-29.0,1770.0
36,2020-02-18,48.5,60,0.0,-,5.0,0.0,27.0,1830.0
37,2020-02-19,49.0,36,0.5,▲,6.0,1.0,-24.0,1866.0
38,2020-02-20,49.5,49,0.5,▲,7.0,1.0,13.0,1915.0
39,2020-02-21,49.6,42,0.1,▲,8.0,0.2,-7.0,1957.0
40,2020-02-22,49.6,61,0.0,-,8.0,0.0,19.0,2018.0
41,2020-02-23,49.6,69,0.0,-,8.0,0.0,8.0,2087.0
42,2020-02-24,48.9,39,-0.7,▼,7.0,-1.4,-30.0,2126.0
43,2020-02-25,48.0,40,-0.9,▼,6.0,-1.8,1.0,2166.0
44,2020-02-26,48.0,40,0.0,-,6.0,0.0,0.0,2206.0
45,2020-02-27,48.2,35,0.2,▲,7.0,0.4,-5.0,2241.0
46,2020-02-28,46.7,63,-1.5,▼,6.0,-3.1,28.0,2304.0
47,2020-02-29,46.4,90,-0.3,▼,5.0,-0.6,27.0,2394.0
48,2020-03-01,46.3,64,-0.1,▼,4.0,-0.2,-26.0,2458.0
49,2020-03-02,46.2,22,-0.1,▼,3.0,-0.2,-42.0,2480.0
50,2020-03-03,45.9,55,-0.3,▼,2.0,-0.6,33.0,2535.0
51,2020-03-04,46.9,62,1.0,▲,3.0,2.2,7.0,2597.0
52,2020-03-05,47.8,31,0.9,▲,4.0,1.9,-31.0,2628.0
53,2020-03-06,48.5,46,0.7,▲,5.0,1.5,15.0,2674.0
54,2020-03-07,48.5,56,0.0,-,5.0,0.0,10.0,2730.0
55,2020-03-08,48.2,64,-0.3,▼,4.0,-0.6,8.0,2794.0
56,2020-03-09,48.5,36,0.3,▲,5.0,0.6,-28.0,2830.0
57,2020-03-10,48.6,38,0.1,▲,6.0,0.2,2.0,2868.0
58,2020-03-11,48.9,61,0.3,▲,7.0,0.6,23.0,2929.0
59,2020-03-12,49.2,73,0.3,▲,8.0,0.6,12.0,3002.0
60,2020-03-13,49.5,59,0.3,▲,9.0,0.6,-14.0,3061.0
61,2020-03-14,48.7,93,-0.8,▼,8.0,-1.6,34.0,3154.0
62,2020-03-15,48.5,64,-0.2,▼,7.0,-0.4,-29.0,3218.0
63,2020-03-16,48.2,90,-0.3,▼,6.0,-0.6,26.0,3308.0
64,2020-03-17,47.7,67,-0.5,▼,5.0,-1.0,-23.0,3375.0
65,2020-03-18,47.9,81,0.2,▲,6.0,0.4,14.0,3456.0
66,2020-03-19,50.0,132,2.1,▲,7.0,4.4,51.0,3588.0
67,2020-03-20,51.2,109,1.2,▲,8.0,2.4,-23.0,3697.0
68,2020-03-21,52.5,96,1.3,▲,9.0,2.5,-13.0,3793.0
69,2020-03-22,54.0,84,1.5,▲,10.0,2.9,-12.0,3877.0
70,2020-03-23,54.6,93,0.6,▲,11.0,1.1,9.0,3970.0
71,2020-03-24,54.5,85,-0.1,▼,10.0,-0.2,-8.0,4055.0
72,2020-03-25,55.0,127,0.5,▲,11.0,0.9,42.0,4182.0
73,2020-03-26,55.9,126,0.9,▲,12.0,1.6,-1.0,4308.0
74,2020-03-27,56.7,124,0.8,▲,13.0,1.4,-2.0,4432.0
75,2020-03-28,57.9,139,1.2,▲,14.0,2.1,15.0,4571.0
76,2020-03-29,58.6,160,0.7,▲,15.0,1.2,21.0,4731.0
77,2020-03-30,59.1,122,0.5,▲,16.0,0.9,-38.0,4853.0
78,2020-03-31,60.3,154,1.2,▲,17.0,2.0,32.0,5007.0
79,2020-04-01,61.2,156,0.9,▲,18.0,1.5,2.0,5163.0
80,2020-04-02,61.5,137,0.3,▲,19.0,0.5,-19.0,5300.0
81,2020-04-03,61.4,119,-0.1,▼,18.0,-0.2,-18.0,5419.0
82,2020-04-04,61.2,122,-0.2,▼,17.0,-0.3,3.0,5541.0
83,2020-04-05,60.1,109,-1.1,▼,16.0,-1.8,-13.0,5650.0
84,2020-04-06,59.0,109,-1.1,▼,15.0,-1.8,0.0,5759.0
85,2020-04-07,59.2,108,0.2,▲,16.0,0.3,-1.0,5867.0
86,2020-04-08,59.6,102,0.4,▲,17.0,0.7,-6.0,5969.0
87,2020-04-09,59.7,77,0.1,▲,18.0,0.2,-25.0,6046.0
88,2020-04-10,59.4,110,-0.3,▼,17.0,-0.5,33.0,6156.0
89,2020-04-11,59.7,87,0.3,▲,18.0,0.5,-23.0,6243.0
90,2020-04-12,59.5,107,-0.2,▼,17.0,-0.3,20.0,6350.0
91,2020-04-13,59.5,88,0.0,-,17.0,0.0,-19.0,6438.0
92,2020-04-14,59.2,90,-0.3,▼,16.0,-0.5,2.0,6528.0
93,2020-04-15,60.0,91,0.8,▲,17.0,1.4,1.0,6619.0
94,2020-04-16,61.3,82,1.3,▲,18.0,2.2,-9.0,6701.0
95,2020-04-17,62.3,81,1.0,▲,19.0,1.6,-1.0,6782.0
96,2020-04-18,63.0,75,0.7,▲,20.0,1.1,-6.0,6857.0
97,2020-04-19,64.4,77,1.4,▲,21.0,2.2,2.0,6934.0
98,2020-04-20,64.6,90,0.2,▲,22.0,0.3,13.0,7024.0
99,2020-04-21,64.6,71,0.0,-,22.0,0.0,-19.0,7095.0
100,2020-04-22,65.3,52,0.7,▲,23.0,1.1,-19.0,7147.0
101,2020-04-23,66.3,36,1.0,▲,24.0,1.5,-16.0,7183.0
102,2020-04-24,66.3,77,0.0,-,24.0,0.0,41.0,7260.0
103,2020-04-25,66.2,69,-0.1,▼,23.0,-0.2,-8.0,7329.0
104,2020-04-26,65.6,95,-0.6,▼,22.0,-0.9,26.0,7424.0
105,2020-04-27,65.3,90,-0.3,▼,21.0,-0.5,-5.0,7514.0
106,2020-04-28,65.6,71,0.3,▲,22.0,0.5,-19.0,7585.0
107,2020-04-29,66.4,39,0.8,▲,23.0,1.2,-32.0,7624.0
108,2020-04-30,67.2,52,0.8,▲,24.0,1.2,13.0,7676.0
109,2020-05-01,68.3,62,1.1,▲,25.0,1.6,10.0,7738.0
110,2020-05-02,68.4,62,0.1,▲,26.0,0.1,0.0,7800.0
111,2020-05-03,66.5,57,-1.9,▼,25.0,-2.8,-5.0,7857.0
112,2020-05-04,66.4,48,-0.1,▼,24.0,-0.2,-9.0,7905.0
113,2020-05-05,66.4,49,0.0,-,24.0,0.0,1.0,7954.0
114,2020-05-06,66.2,62,-0.2,▼,23.0,-0.3,13.0,8016.0
115,2020-05-07,66.6,37,0.4,▲,24.0,0.6,-25.0,8053.0
116,2020-05-08,67.5,72,0.9,▲,25.0,1.4,35.0,8125.0
117,2020-05-09,67.3,63,-0.2,▼,24.0,-0.3,-9.0,8188.0
118,2020-05-10,66.5,85,-0.8,▼,23.0,-1.2,22.0,8273.0
119,2020-05-11,65.5,58,-1.0,▼,22.0,-1.5,-27.0,8331.0
120,2020-05-12,64.9,51,-0.6,▼,21.0,-0.9,-7.0,8382.0
121,2020-05-13,65.5,59,0.6,▲,22.0,0.9,8.0,8441.0
122,2020-05-14,65.5,63,0.0,-,22.0,0.0,4.0,8504.0
123,2020-05-15,66.4,65,0.9,▲,23.0,1.4,2.0,8569.0
124,2020-05-16,67.8,69,1.4,▲,24.0,2.1,4.0,8638.0
125,2020-05-17,68.3,40,0.5,▲,25.0,0.7,-29.0,8678.0
126,2020-05-18,68.4,36,0.1,▲,26.0,0.1,-4.0,8714.0
127,2020-05-19,68.7,40,0.3,▲,27.0,0.4,4.0,8754.0
128,2020-05-20,69.0,37,0.3,▲,28.0,0.4,-3.0,8791.0
129,2020-05-21,69.1,66,0.1,▲,29.0,0.1,29.0,8857.0
130,2020-05-22,69.0,40,-0.1,▼,28.0,-0.1,-26.0,8897.0
131,2020-05-23,68.1,89,-0.9,▼,27.0,-1.3,49.0,8986.0
132,2020-05-24,67.7,56,-0.4,▼,26.0,-0.6,-33.0,9042.0
133,2020-05-25,68.0,45,0.3,▲,27.0,0.4,-11.0,9087.0
134,2020-05-26,68.0,52,0.0,-,27.0,0.0,7.0,9139.0
135,2020-05-27,68.2,53,0.2,▲,28.0,0.3,1.0,9192.0
136,2020-05-28,69.2,45,1.0,▲,29.0,1.5,-8.0,9237.0
137,2020-05-29,69.3,56,0.1,▲,30.0,0.1,11.0,9293.0
138,2020-05-30,69.2,41,-0.1,▼,29.0,-0.1,-15.0,9334.0
139,2020-05-31,69.2,39,0.0,-,29.0,0.0,-2.0,9373.0
140,2020-06-01,69.3,46,0.1,▲,30.0,0.1,7.0,9419.0
141,2020-06-02,70.0,51,0.7,▲,31.0,1.0,5.0,9470.0
142,2020-06-03,70.5,45,0.5,▲,32.0,0.7,-6.0,9515.0
143,2020-06-04,71.3,32,0.8,▲,33.0,1.1,-13.0,9547.0
144,2020-06-05,71.3,59,0.0,-,33.0,0.0,27.0,9606.0
145,2020-06-06,71.3,59,0.0,-,33.0,0.0,0.0,9665.0
146,2020-06-07,70.9,33,-0.4,▼,32.0,-0.6,-26.0,9698.0
147,2020-06-08,70.9,48,0.0,-,32.0,0.0,15.0,9746.0
148,2020-06-09,70.1,49,-0.8,▼,31.0,-1.1,1.0,9795.0
149,2020-06-10,70.1,67,0.0,-,31.0,0.0,18.0,9862.0
150,2020-06-11,70.1,41,0.0,-,31.0,0.0,-26.0,9903.0
151,2020-06-12,69.5,55,-0.6,▼,30.0,-0.9,14.0,9958.0
152,2020-06-13,68.5,50,-1.0,▼,29.0,-1.4,-5.0,10008.0
153,2020-06-14,67.5,61,-1.0,▼,28.0,-1.5,11.0,10069.0
154,2020-06-15,66.5,54,-1.0,▼,27.0,-1.5,-7.0,10123.0
155,2020-06-16,65.5,51,-1.0,▼,26.0,-1.5,-3.0,10174.0
156,2020-06-17,65.9,50,0.4,▲,27.0,0.6,-1.0,10224.0
157,2020-06-18,66.3,57,0.4,▲,28.0,0.6,7.0,10281.0
158,2020-06-19,67.3,63,1.0,▲,29.0,1.5,6.0,10344.0
159,2020-06-20,67.2,60,-0.1,▼,28.0,-0.1,-3.0,10404.0
160,2020-06-21,67.2,53,0.0,-,28.0,0.0,-7.0,10457.0
161,2020-06-22,66.8,42,-0.4,▼,27.0,-0.6,-11.0,10499.0
162,2020-06-23,66.9,41,0.1,▲,28.0,0.1,-1.0,10540.0
163,2020-06-24,65.9,49,-1.0,▼,27.0,-1.5,8.0,10589.0
164,2020-06-25,66.7,40,0.8,▲,28.0,1.2,-9.0,10629.0
165,2020-06-26,67.2,33,0.5,▲,29.0,0.7,-7.0,10662.0
166,2020-06-27,67.5,28,0.3,▲,30.0,0.4,-5.0,10690.0
167,2020-06-28,67.7,29,0.2,▲,31.0,0.3,1.0,10719.0
168,2020-06-29,68.7,45,1.0,▲,32.0,1.5,16.0,10764.0
169,2020-06-30,69.0,24,0.3,▲,33.0,0.4,-21.0,10788.0
170,2020-07-01,69.5,48,0.5,▲,34.0,0.7,24.0,10836.0
171,2020-07-02,69.7,26,0.2,▲,35.0,0.3,-22.0,10862.0
172,2020-07-03,70.0,43,0.3,▲,36.0,0.4,17.0,10905.0
173,2020-07-04,70.0,40,0.0,-,36.0,0.0,-3.0,10945.0
174,2020-07-05,70.2,50,0.2,▲,37.0,0.3,10.0,10995.0
175,2020-07-06,70.2,39,0.0,-,37.0,0.0,-11.0,11034.0
176,2020-07-07,69.7,33,-0.5,▼,36.0,-0.7,-6.0,11067.0
177,2020-07-08,69.7,38,0.0,-,36.0,0.0,5.0,11105.0
178,2020-07-09,69.7,39,0.0,-,36.0,0.0,1.0,11144.0
179,2020-07-10,69.5,47,-0.2,▼,35.0,-0.3,8.0,11191.0
180,2020-07-11,70.3,62,0.8,▲,36.0,1.2,15.0,11253.0
181,2020-07-12,70.7,70,0.4,▲,37.0,0.6,8.0,11323.0
182,2020-07-13,71.1,42,0.4,▲,38.0,0.6,-28.0,11365.0
183,2020-07-14,71.5,54,0.4,▲,39.0,0.6,12.0,11419.0
184,2020-07-15,71.5,53,0.0,-,39.0,0.0,-1.0,11472.0
185,2020-07-16,70.7,51,-0.8,▼,38.0,-1.1,-2.0,11523.0
186,2020-07-17,70.5,42,-0.2,▼,37.0,-0.3,-9.0,11565.0
187,2020-07-18,70.3,50,-0.2,▼,36.0,-0.3,8.0,11615.0
188,2020-07-19,69.9,40,-0.4,▼,35.0,-0.6,-10.0,11655.0
189,2020-07-20,69.7,42,-0.2,▼,34.0,-0.3,2.0,11697.0
190,2020-07-21,69.7,57,0.0,-,34.0,0.0,15.0,11754.0
191,2020-07-22,69.6,50,-0.1,▼,33.0,-0.1,-7.0,11804.0
192,2020-07-23,69.4,63,-0.2,▼,32.0,-0.3,13.0,11867.0
193,2020-07-24,69.4,45,0.0,-,32.0,0.0,-18.0,11912.0
194,2020-07-25,69.5,31,0.1,▲,33.0,0.1,-14.0,11943.0
195,2020-07-26,69.5,43,0.0,-,33.0,0.0,12.0,11986.0
196,2020-07-27,69.9,26,0.4,▲,34.0,0.6,-17.0,12012.0
197,2020-07-28,69.5,54,-0.4,▼,33.0,-0.6,28.0,12066.0
198,2020-07-29,70.5,60,1.0,▲,34.0,1.4,6.0,12126.0
199,2020-07-30,71.6,48,1.1,▲,35.0,1.6,-12.0,12174.0
200,2020-07-31,72.1,37,0.5,▲,36.0,0.7,-11.0,12211.0
201,2020-08-01,72.6,44,0.5,▲,37.0,0.7,7.0,12255.0
202,2020-08-02,73.5,64,0.9,▲,38.0,1.2,20.0,12319.0
203,2020-08-03,73.3,70,-0.2,▼,37.0,-0.3,6.0,12389.0
204,2020-08-04,72.7,76,-0.6,▼,36.0,-0.8,6.0,12465.0
205,2020-08-05,73.2,65,0.5,▲,37.0,0.7,-11.0,12530.0
206,2020-08-06,73.2,50,0.0,-,37.0,0.0,-15.0,12580.0
207,2020-08-07,73.3,54,0.1,▲,38.0,0.1,4.0,12634.0
208,2020-08-08,73.4,72,0.1,▲,39.0,0.1,18.0,12706.0
209,2020-08-09,73.1,64,-0.3,▼,38.0,-0.4,-8.0,12770.0
210,2020-08-10,72.6,78,-0.5,▼,37.0,-0.7,14.0,12848.0
211,2020-08-11,72.6,41,0.0,-,37.0,0.0,-37.0,12889.0
212,2020-08-12,72.5,62,-0.1,▼,36.0,-0.1,21.0,12951.0
213,2020-08-13,72.9,42,0.4,▲,37.0,0.6,-20.0,12993.0
214,2020-08-14,73.4,65,0.5,▲,38.0,0.7,23.0,13058.0
215,2020-08-15,73.4,70,0.0,-,38.0,0.0,5.0,13128.0
216,2020-08-16,73.4,64,0.0,-,38.0,0.0,-6.0,13192.0
217,2020-08-17,72.8,53,-0.6,▼,37.0,-0.8,-11.0,13245.0
218,2020-08-18,72.0,53,-0.8,▼,36.0,-1.1,0.0,13298.0
219,2020-08-19,71.9,55,-0.1,▼,35.0,-0.1,2.0,13353.0
220,2020-08-20,71.9,61,0.0,-,35.0,0.0,6.0,13414.0
221,2020-08-21,71.9,74,0.0,-,35.0,0.0,13.0,13488.0
222,2020-08-22,72.0,71,0.1,▲,36.0,0.1,-3.0,13559.0
223,2020-08-23,71.4,68,-0.6,▼,35.0,-0.8,-3.0,13627.0
224,2020-08-24,70.5,60,-0.9,▼,34.0,-1.3,-8.0,13687.0
225,2020-08-25,70.0,66,-0.5,▼,33.0,-0.7,6.0,13753.0
226,2020-08-26,70.7,39,0.7,▲,34.0,1.0,-27.0,13792.0
227,2020-08-27,72.1,54,1.4,▲,35.0,2.0,15.0,13846.0
228,2020-08-28,73.2,62,1.1,▲,36.0,1.5,8.0,13908.0
229,2020-08-29,74.1,79,0.9,▲,37.0,1.2,17.0,13987.0
230,2020-08-30,74.1,85,0.0,-,37.0,0.0,6.0,14072.0
231,2020-08-31,73.9,75,-0.2,▼,36.0,-0.3,-10.0,14147.0
232,2020-09-01,73.0,69,-0.9,▼,35.0,-1.2,-6.0,14216.0
233,2020-09-02,72.5,70,-0.5,▼,34.0,-0.7,1.0,14286.0
234,2020-09-03,73.0,82,0.5,▲,35.0,0.7,12.0,14368.0
235,2020-09-04,73.5,69,0.5,▲,36.0,0.7,-13.0,14437.0
236,2020-09-05,74.2,50,0.7,▲,37.0,1.0,-19.0,14487.0
237,2020-09-06,75.6,74,1.4,▲,38.0,1.9,24.0,14561.0
238,2020-09-07,76.9,45,1.3,▲,39.0,1.7,-29.0,14606.0
239,2020-09-08,77.7,51,0.8,▲,40.0,1.0,6.0,14657.0
240,2020-09-09,78.7,49,1.0,▲,41.0,1.3,-2.0,14706.0
241,2020-09-10,79.0,66,0.3,▲,42.0,0.4,17.0,14772.0
242,2020-09-11,79.1,62,0.1,▲,43.0,0.1,-4.0,14834.0
243,2020-09-12,79.5,82,0.4,▲,44.0,0.5,20.0,14916.0
244,2020-09-13,79.7,69,0.2,▲,45.0,0.3,-13.0,14985.0
245,2020-09-14,79.6,48,-0.1,▼,44.0,-0.1,-21.0,15033.0
246,2020-09-15,79.6,63,0.0,-,44.0,0.0,15.0,15096.0
247,2020-09-16,79.6,50,0.0,-,44.0,0.0,-13.0,15146.0
248,2020-09-17,79.0,50,-0.6,▼,43.0,-0.8,0.0,15196.0
249,2020-09-18,79.5,46,0.5,▲,44.0,0.6,-4.0,15242.0
250,2020-09-19,81.1,59,1.6,▲,45.0,2.0,13.0,15301.0
251,2020-09-20,81.0,63,-0.1,▼,44.0,-0.1,4.0,15364.0
252,2020-09-21,81.8,56,0.8,▲,45.0,1.0,-7.0,15420.0
253,2020-09-22,84.0,39,2.2,▲,46.0,2.7,-17.0,15459.0
254,2020-09-23,85.4,59,1.4,▲,47.0,1.7,20.0,15518.0
255,2020-09-24,86.3,44,0.9,▲,48.0,1.1,-15.0,15562.0
256,2020-09-25,87.4,44,1.1,▲,49.0,1.3,0.0,15606.0
257,2020-09-26,88.1,68,0.7,▲,50.0,0.8,24.0,15674.0
258,2020-09-27,87.7,48,-0.4,▼,49.0,-0.5,-20.0,15722.0
259,2020-09-28,87.2,54,-0.5,▼,48.0,-0.6,6.0,15776.0
260,2020-09-29,87.3,43,0.1,▲,49.0,0.1,-11.0,15819.0
261,2020-09-30,88.3,60,1.0,▲,50.0,1.1,17.0,15879.0
262,2020-10-01,89.7,45,1.4,▲,51.0,1.6,-15.0,15924.0
