,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,32.9,11,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,33.0,7,0.1,▲,1.0,0.3,-4.0,7.0
2,2020-01-15,33.6,8,0.6,▲,2.0,1.8,1.0,15.0
3,2020-01-16,33.0,12,-0.6,▼,1.0,-1.8,4.0,27.0
4,2020-01-17,33.0,22,0.0,-,1.0,0.0,10.0,49.0
5,2020-01-18,33.0,12,0.0,-,1.0,0.0,-10.0,61.0
6,2020-01-19,33.2,7,0.2,▲,2.0,0.6,-5.0,68.0
7,2020-01-20,32.8,12,-0.4,▼,1.0,-1.2,5.0,80.0
8,2020-01-21,33.9,12,1.1,▲,2.0,3.4,0.0,92.0
9,2020-01-22,33.7,8,-0.2,▼,1.0,-0.6,-4.0,100.0
10,2020-01-23,33.3,10,-0.4,▼,0.0,-1.2,2.0,110.0
11,2020-01-24,33.3,9,0.0,-,0.0,0.0,-1.0,119.0
12,2020-01-25,33.7,10,0.4,▲,1.0,1.2,1.0,129.0
13,2020-01-26,33.7,11,0.0,-,1.0,0.0,1.0,140.0
14,2020-01-27,34.4,9,0.7,▲,2.0,2.1,-2.0,149.0
15,2020-01-28,35.6,7,1.2,▲,3.0,3.5,-2.0,156.0
16,2020-01-29,36.6,14,1.0,▲,4.0,2.8,7.0,170.0
17,2020-01-30,37.0,12,0.4,▲,5.0,1.1,-2.0,182.0
18,2020-01-31,37.2,17,0.2,▲,6.0,0.5,5.0,199.0
19,2020-02-01,38.1,7,0.9,▲,7.0,2.4,-10.0,206.0
20,2020-02-02,38.4,11,0.3,▲,8.0,0.8,4.0,217.0
21,2020-02-03,37.4,11,-1.0,▼,7.0,-2.6,0.0,228.0
22,2020-02-04,37.4,7,0.0,-,7.0,0.0,-4.0,235.0
23,2020-02-05,37.7,6,0.3,▲,8.0,0.8,-1.0,241.0
24,2020-02-06,36.1,9,-1.6,▼,7.0,-4.2,3.0,250.0
25,2020-02-07,34.9,16,-1.2,▼,6.0,-3.3,7.0,266.0
26,2020-02-08,34.1,9,-0.8,▼,5.0,-2.3,-7.0,275.0
27,2020-02-09,33.3,9,-0.8,▼,4.0,-2.3,0.0,284.0
28,2020-02-10,32.1,14,-1.2,▼,3.0,-3.6,5.0,298.0
29,2020-02-11,31.7,8,-0.4,▼,2.0,-1.2,-6.0,306.0
30,2020-02-12,30.9,22,-0.8,▼,1.0,-2.5,14.0,328.0
31,2020-02-13,30.8,12,-0.1,▼,0.0,-0.3,-10.0,340.0
32,2020-02-14,31.2,25,0.4,▲,1.0,1.3,13.0,365.0
33,2020-02-15,31.1,19,-0.1,▼,0.0,-0.3,-6.0,384.0
34,2020-02-16,32.1,18,1.0,▲,1.0,3.2,-1.0,402.0
35,2020-02-17,33.1,21,1.0,▲,2.0,3.1,3.0,423.0
36,2020-02-18,34.5,15,1.4,▲,3.0,4.2,-6.0,438.0
37,2020-02-19,34.6,11,0.1,▲,4.0,0.3,-4.0,449.0
38,2020-02-20,35.6,14,1.0,▲,5.0,2.9,3.0,463.0
39,2020-02-21,34.5,7,-1.1,▼,4.0,-3.1,-7.0,470.0
40,2020-02-22,34.4,11,-0.1,▼,3.0,-0.3,4.0,481.0
41,2020-02-23,32.9,12,-1.5,▼,2.0,-4.4,1.0,493.0
42,2020-02-24,32.9,8,0.0,-,2.0,0.0,-4.0,501.0
43,2020-02-25,32.2,13,-0.7,▼,1.0,-2.1,5.0,514.0
44,2020-02-26,32.4,15,0.2,▲,2.0,0.6,2.0,529.0
45,2020-02-27,32.3,11,-0.1,▼,1.0,-0.3,-4.0,540.0
46,2020-02-28,32.8,12,0.5,▲,2.0,1.5,1.0,552.0
47,2020-02-29,31.8,10,-1.0,▼,1.0,-3.0,-2.0,562.0
48,2020-03-01,31.8,16,0.0,-,1.0,0.0,6.0,578.0
49,2020-03-02,32.2,3,0.4,▲,2.0,1.3,-13.0,581.0
50,2020-03-03,31.1,12,-1.1,▼,1.0,-3.4,9.0,593.0
51,2020-03-04,31.1,15,0.0,-,1.0,0.0,3.0,608.0
52,2020-03-05,30.9,4,-0.2,▼,0.0,-0.6,-11.0,612.0
53,2020-03-06,30.4,16,-0.5,▼,-1.0,-1.6,12.0,628.0
54,2020-03-07,30.5,22,0.1,▲,0.0,0.3,6.0,650.0
55,2020-03-08,30.8,24,0.3,▲,1.0,1.0,2.0,674.0
56,2020-03-09,31.1,20,0.3,▲,2.0,1.0,-4.0,694.0
57,2020-03-10,31.7,12,0.6,▲,3.0,1.9,-8.0,706.0
58,2020-03-11,31.7,18,0.0,-,3.0,0.0,6.0,724.0
59,2020-03-12,31.0,10,-0.7,▼,2.0,-2.2,-8.0,734.0
60,2020-03-13,30.5,14,-0.5,▼,1.0,-1.6,4.0,748.0
61,2020-03-14,30.1,25,-0.4,▼,0.0,-1.3,11.0,773.0
62,2020-03-15,29.6,16,-0.5,▼,-1.0,-1.7,-9.0,789.0
63,2020-03-16,29.6,8,0.0,-,-1.0,0.0,-8.0,797.0
64,2020-03-17,29.5,9,-0.1,▼,-2.0,-0.3,1.0,806.0
65,2020-03-18,29.8,9,0.3,▲,-1.0,1.0,0.0,815.0
66,2020-03-19,28.9,8,-0.9,▼,-2.0,-3.0,-1.0,823.0
67,2020-03-20,28.0,16,-0.9,▼,-3.0,-3.1,8.0,839.0
68,2020-03-21,27.0,19,-1.0,▼,-4.0,-3.6,3.0,858.0
69,2020-03-22,25.5,18,-1.5,▼,-5.0,-5.6,-1.0,876.0
70,2020-03-23,24.7,19,-0.8,▼,-6.0,-3.1,1.0,895.0
71,2020-03-24,23.4,11,-1.3,▼,-7.0,-5.3,-8.0,906.0
72,2020-03-25,22.4,17,-1.0,▼,-8.0,-4.3,6.0,923.0
73,2020-03-26,22.3,7,-0.1,▼,-9.0,-0.4,-10.0,930.0
74,2020-03-27,22.6,14,0.3,▲,-8.0,1.3,7.0,944.0
75,2020-03-28,22.6,24,0.0,-,-8.0,0.0,10.0,968.0
76,2020-03-29,23.3,12,0.7,▲,-7.0,3.1,-12.0,980.0
77,2020-03-30,24.2,12,0.9,▲,-6.0,3.9,0.0,992.0
78,2020-03-31,24.2,13,0.0,-,-6.0,0.0,1.0,1005.0
79,2020-04-01,24.7,19,0.5,▲,-5.0,2.1,6.0,1024.0
80,2020-04-02,24.2,19,-0.5,▼,-6.0,-2.0,0.0,1043.0
81,2020-04-03,23.9,13,-0.3,▼,-7.0,-1.2,-6.0,1056.0
82,2020-04-04,23.5,17,-0.4,▼,-8.0,-1.7,4.0,1073.0
83,2020-04-05,23.4,18,-0.1,▼,-9.0,-0.4,1.0,1091.0
84,2020-04-06,22.8,21,-0.6,▼,-10.0,-2.6,3.0,1112.0
85,2020-04-07,22.8,14,0.0,-,-10.0,0.0,-7.0,1126.0
86,2020-04-08,23.2,15,0.4,▲,-9.0,1.8,1.0,1141.0
87,2020-04-09,23.2,24,0.0,-,-9.0,0.0,9.0,1165.0
88,2020-04-10,22.4,16,-0.8,▼,-10.0,-3.4,-8.0,1181.0
89,2020-04-11,22.2,25,-0.2,▼,-11.0,-0.9,9.0,1206.0
90,2020-04-12,22.2,21,0.0,-,-11.0,0.0,-4.0,1227.0
91,2020-04-13,22.0,19,-0.2,▼,-12.0,-0.9,-2.0,1246.0
92,2020-04-14,20.2,16,-1.8,▼,-13.0,-8.2,-3.0,1262.0
93,2020-04-15,19.9,23,-0.3,▼,-14.0,-1.5,7.0,1285.0
94,2020-04-16,20.2,13,0.3,▲,-13.0,1.5,-10.0,1298.0
95,2020-04-17,19.6,12,-0.6,▼,-14.0,-3.0,-1.0,1310.0
96,2020-04-18,20.3,7,0.7,▲,-13.0,3.6,-5.0,1317.0
97,2020-04-19,21.6,15,1.3,▲,-12.0,6.4,8.0,1332.0
98,2020-04-20,22.3,9,0.7,▲,-11.0,3.2,-6.0,1341.0
99,2020-04-21,22.1,13,-0.2,▼,-12.0,-0.9,4.0,1354.0
100,2020-04-22,23.2,12,1.1,▲,-11.0,5.0,-1.0,1366.0
101,2020-04-23,22.1,16,-1.1,▼,-12.0,-4.7,4.0,1382.0
102,2020-04-24,22.1,13,0.0,-,-12.0,0.0,-3.0,1395.0
