,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
19,2020-03-01,73.7,3,-1.1,▼,-2.0,-1.5,-3.0,84.0
20,2020-03-02,74.8,1,1.1,▲,-1.0,1.5,-2.0,85.0
21,2020-03-03,73.7,9,-1.1,▼,-2.0,-1.5,8.0,94.0
22,2020-03-04,74.7,5,1.0,▲,-1.0,1.4,-4.0,99.0
23,2020-03-05,71.4,3,-3.3,▼,-2.0,-4.4,-2.0,102.0
24,2020-03-06,70.5,3,-0.9,▼,-3.0,-1.3,0.0,105.0
25,2020-03-07,69.9,5,-0.6,▼,-4.0,-0.9,2.0,110.0
26,2020-03-08,71.0,6,1.1,▲,-3.0,1.6,1.0,116.0
27,2020-03-09,71.1,8,0.1,▲,-2.0,0.1,2.0,124.0
28,2020-03-10,72.1,4,1.0,▲,-1.0,1.4,-4.0,128.0
29,2020-03-12,71.6,6,-0.5,▼,-2.0,-0.7,2.0,134.0
30,2020-03-13,71.7,3,0.1,▲,-1.0,0.1,-3.0,137.0
31,2020-03-14,72.2,6,0.5,▲,0.0,0.7,3.0,143.0
32,2020-03-15,71.1,5,-1.1,▼,-1.0,-1.5,-1.0,148.0
33,2020-03-16,72.6,6,1.5,▲,0.0,2.1,1.0,154.0
34,2020-03-17,74.5,2,1.9,▲,1.0,2.6,-4.0,156.0
35,2020-03-18,74.4,3,-0.1,▼,0.0,-0.1,1.0,159.0
36,2020-03-19,72.9,7,-1.5,▼,-1.0,-2.0,4.0,166.0
37,2020-03-20,74.4,3,1.5,▲,0.0,2.1,-4.0,169.0
38,2020-03-21,75.9,2,1.5,▲,1.0,2.0,-1.0,171.0
39,2020-03-22,75.9,3,0.0,-,1.0,0.0,1.0,174.0
40,2020-03-23,76.0,6,0.1,▲,2.0,0.1,3.0,180.0
41,2020-03-24,77.3,1,1.3,▲,3.0,1.7,-5.0,181.0
42,2020-03-25,77.6,4,0.3,▲,4.0,0.4,3.0,185.0
43,2020-03-26,77.1,1,-0.5,▼,3.0,-0.6,-3.0,186.0
44,2020-03-27,75.2,10,-1.9,▼,2.0,-2.5,9.0,196.0
45,2020-03-28,75.6,8,0.4,▲,3.0,0.5,-2.0,204.0
46,2020-03-29,75.3,13,-0.3,▼,2.0,-0.4,5.0,217.0
47,2020-03-30,75.4,6,0.1,▲,3.0,0.1,-7.0,223.0
48,2020-03-31,76.3,7,0.9,▲,4.0,1.2,1.0,230.0
49,2020-04-01,79.3,11,3.0,▲,5.0,3.9,4.0,241.0
50,2020-04-02,79.7,5,0.4,▲,6.0,0.5,-6.0,246.0
51,2020-04-03,77.8,4,-1.9,▼,5.0,-2.4,-1.0,250.0
52,2020-04-05,77.8,9,0.0,-,5.0,0.0,5.0,259.0
53,2020-04-06,78.2,2,0.4,▲,6.0,0.5,-7.0,261.0
54,2020-04-07,76.2,4,-2.0,▼,5.0,-2.6,2.0,265.0
55,2020-04-08,79.2,5,3.0,▲,6.0,3.9,1.0,270.0
56,2020-04-09,82.1,3,2.9,▲,7.0,3.7,-2.0,273.0
57,2020-04-10,73.1,111,-9.0,▼,6.0,-11.0,108.0,384.0
58,2020-04-11,63.8,99,-9.3,▼,5.0,-12.7,-12.0,483.0
59,2020-04-12,56.5,52,-7.3,▼,4.0,-11.4,-47.0,535.0
60,2020-04-13,45.1,14,-11.4,▼,3.0,-20.2,-38.0,549.0
61,2020-04-14,35.6,17,-9.5,▼,2.0,-21.1,3.0,566.0
62,2020-04-15,36.7,24,1.1,▲,3.0,3.1,7.0,590.0
63,2020-04-16,36.7,6,0.0,-,3.0,0.0,-18.0,596.0
64,2020-04-17,38.5,4,1.8,▲,4.0,4.9,-2.0,600.0
65,2020-04-18,38.3,11,-0.2,▼,3.0,-0.5,7.0,611.0
66,2020-04-19,38.3,7,0.0,-,3.0,0.0,-4.0,618.0
67,2020-04-20,37.8,7,-0.5,▼,2.0,-1.3,0.0,625.0
68,2020-04-21,38.3,9,0.5,▲,3.0,1.3,2.0,634.0
69,2020-04-22,36.3,5,-2.0,▼,2.0,-5.2,-4.0,639.0
70,2020-04-23,35.3,4,-1.0,▼,1.0,-2.8,-1.0,643.0
71,2020-04-24,34.8,6,-0.5,▼,0.0,-1.4,2.0,649.0
72,2020-04-25,35.3,20,0.5,▲,1.0,1.4,14.0,669.0
73,2020-04-26,35.2,8,-0.1,▼,0.0,-0.3,-12.0,677.0
74,2020-04-27,36.9,5,1.7,▲,1.0,4.8,-3.0,682.0
75,2020-04-28,38.6,15,1.7,▲,2.0,4.6,10.0,697.0
76,2020-04-29,41.1,4,2.5,▲,3.0,6.5,-11.0,701.0
77,2020-04-30,41.3,5,0.2,▲,4.0,0.5,1.0,706.0
78,2020-05-01,42.8,4,1.5,▲,5.0,3.6,-1.0,710.0
79,2020-05-02,43.6,2,0.8,▲,6.0,1.9,-2.0,712.0
80,2020-05-03,43.6,7,0.0,-,6.0,0.0,5.0,719.0
81,2020-05-04,44.1,3,0.5,▲,7.0,1.1,-4.0,722.0
82,2020-05-05,46.4,4,2.3,▲,8.0,5.2,1.0,726.0
83,2020-05-06,46.9,1,0.5,▲,9.0,1.1,-3.0,727.0
84,2020-05-07,45.9,2,-1.0,▼,8.0,-2.1,1.0,729.0
85,2020-05-08,48.9,6,3.0,▲,9.0,6.5,4.0,735.0
86,2020-05-09,48.4,8,-0.5,▼,8.0,-1.0,2.0,743.0
87,2020-05-10,49.4,3,1.0,▲,9.0,2.1,-5.0,746.0
88,2020-05-11,48.0,3,-1.4,▼,8.0,-2.8,0.0,749.0
89,2020-05-12,49.0,2,1.0,▲,9.0,2.1,-1.0,751.0
90,2020-05-13,48.6,6,-0.4,▼,8.0,-0.8,4.0,757.0
91,2020-05-14,50.1,8,1.5,▲,9.0,3.1,2.0,765.0
92,2020-05-15,50.1,14,0.0,-,9.0,0.0,6.0,779.0
93,2020-05-16,51.6,2,1.5,▲,10.0,3.0,-12.0,781.0
94,2020-05-17,51.1,7,-0.5,▼,9.0,-1.0,5.0,788.0
95,2020-05-18,51.5,5,0.4,▲,10.0,0.8,-2.0,793.0
96,2020-05-19,49.5,3,-2.0,▼,9.0,-3.9,-2.0,796.0
97,2020-05-20,50.5,3,1.0,▲,10.0,2.0,0.0,799.0
98,2020-05-21,51.9,4,1.4,▲,11.0,2.8,1.0,803.0
99,2020-05-22,52.4,5,0.5,▲,12.0,1.0,1.0,808.0
100,2020-05-23,52.3,6,-0.1,▼,11.0,-0.2,1.0,814.0
101,2020-05-24,55.8,9,3.5,▲,12.0,6.7,3.0,823.0
102,2020-05-25,55.2,7,-0.6,▼,11.0,-1.1,-2.0,830.0
103,2020-05-26,54.8,2,-0.4,▼,10.0,-0.7,-5.0,832.0
104,2020-05-27,58.7,5,3.9,▲,11.0,7.1,3.0,837.0
105,2020-05-28,57.3,4,-1.4,▼,10.0,-2.4,-1.0,841.0
106,2020-05-29,57.7,2,0.4,▲,11.0,0.7,-2.0,843.0
107,2020-05-30,57.8,1,0.1,▲,12.0,0.2,-1.0,844.0
108,2020-05-31,59.8,2,2.0,▲,13.0,3.5,1.0,846.0
109,2020-06-01,59.4,1,-0.4,▼,12.0,-0.7,-1.0,847.0
110,2020-06-02,63.9,1,4.5,▲,13.0,7.6,0.0,848.0
111,2020-06-03,63.0,3,-0.9,▼,12.0,-1.4,2.0,851.0
112,2020-06-04,64.4,3,1.4,▲,13.0,2.2,0.0,854.0
113,2020-06-05,64.9,9,0.5,▲,14.0,0.8,6.0,863.0
114,2020-06-06,63.8,4,-1.1,▼,13.0,-1.7,-5.0,867.0
115,2020-06-07,57.8,1,-6.0,▼,12.0,-9.4,-3.0,868.0
116,2020-06-08,58.7,3,0.9,▲,13.0,1.6,2.0,871.0
117,2020-06-09,56.3,3,-2.4,▼,12.0,-4.1,0.0,874.0
118,2020-06-10,56.1,2,-0.2,▼,11.0,-0.4,-1.0,876.0
119,2020-06-11,57.2,3,1.1,▲,12.0,2.0,1.0,879.0
120,2020-06-12,62.2,1,5.0,▲,13.0,8.7,-2.0,880.0
121,2020-06-13,60.8,5,-1.4,▼,12.0,-2.3,4.0,885.0
122,2020-06-14,61.8,7,1.0,▲,13.0,1.6,2.0,892.0
123,2020-06-15,58.5,3,-3.3,▼,12.0,-5.3,-4.0,895.0
124,2020-06-16,58.4,6,-0.1,▼,11.0,-0.2,3.0,901.0
125,2020-06-17,56.9,8,-1.5,▼,10.0,-2.6,2.0,909.0
126,2020-06-18,58.2,4,1.3,▲,11.0,2.3,-4.0,913.0
127,2020-06-19,58.6,9,0.4,▲,12.0,0.7,5.0,922.0
128,2020-06-20,62.5,6,3.9,▲,13.0,6.7,-3.0,928.0
129,2020-06-21,62.1,7,-0.4,▼,12.0,-0.6,1.0,935.0
130,2020-06-22,62.1,4,0.0,-,12.0,0.0,-3.0,939.0
131,2020-06-23,63.7,4,1.6,▲,13.0,2.6,0.0,943.0
132,2020-06-24,65.2,4,1.5,▲,14.0,2.4,0.0,947.0
133,2020-06-25,63.8,3,-1.4,▼,13.0,-2.1,-1.0,950.0
134,2020-06-26,64.3,1,0.5,▲,14.0,0.8,-2.0,951.0
135,2020-06-27,64.2,6,-0.1,▼,13.0,-0.2,5.0,957.0
