,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,9.7,5,0.0,-,0.0,0.0
1,2020-04-28,10.0,6,0.3,▲,1.0,3.1
2,2020-04-29,9.7,3,-0.3,▼,0.0,-3.0
3,2020-04-30,9.3,3,-0.4,▼,-1.0,-4.1
4,2020-05-01,9.2,5,-0.1,▼,-2.0,-1.1
5,2020-05-02,8.9,1,-0.3,▼,-3.0,-3.3
6,2020-05-03,8.4,4,-0.5,▼,-4.0,-5.6
7,2020-05-04,8.6,3,0.2,▲,-3.0,2.4
8,2020-05-05,9.0,1,0.4,▲,-2.0,4.7
9,2020-05-06,9.0,1,0.0,-,-2.0,0.0
10,2020-05-07,8.4,1,-0.6,▼,-3.0,-6.7
11,2020-05-08,8.8,5,0.4,▲,-2.0,4.8
12,2020-05-10,8.7,2,-0.1,▼,-3.0,-1.1
13,2020-05-11,8.5,1,-0.2,▼,-4.0,-2.3
14,2020-05-13,8.3,3,-0.2,▼,-5.0,-2.4
15,2020-05-14,9.3,1,1.0,▲,-4.0,12.0
16,2020-05-15,9.1,2,-0.2,▼,-5.0,-2.2
17,2020-05-16,9.1,5,0.0,-,-5.0,0.0
18,2020-05-17,9.0,4,-0.1,▼,-6.0,-1.1
19,2020-05-18,9.0,1,0.0,-,-6.0,0.0
20,2020-05-19,8.6,6,-0.4,▼,-7.0,-4.4
21,2020-05-21,8.6,1,0.0,-,-7.0,0.0
22,2020-05-22,8.7,2,0.1,▲,-6.0,1.2
23,2020-05-23,8.8,1,0.1,▲,-5.0,1.1
24,2020-05-24,9.0,1,0.2,▲,-4.0,2.3
25,2020-05-26,9.2,2,0.2,▲,-3.0,2.2
26,2020-05-27,9.4,3,0.2,▲,-2.0,2.2
27,2020-05-28,9.0,1,-0.4,▼,-3.0,-4.3
28,2020-05-29,8.6,3,-0.4,▼,-4.0,-4.4
29,2020-05-30,8.8,2,0.2,▲,-3.0,2.3
30,2020-05-31,9.0,2,0.2,▲,-2.0,2.3
31,2020-06-01,9.1,4,0.1,▲,-1.0,1.1
32,2020-06-03,9.3,6,0.2,▲,0.0,2.2
33,2020-06-04,9.5,7,0.2,▲,1.0,2.2
34,2020-06-05,9.0,4,-0.5,▼,0.0,-5.3
35,2020-06-06,8.2,5,-0.8,▼,-1.0,-8.9
36,2020-06-07,8.1,5,-0.1,▼,-2.0,-1.2
37,2020-06-08,7.7,1,-0.4,▼,-3.0,-4.9
38,2020-06-09,7.5,1,-0.2,▼,-4.0,-2.6
39,2020-06-10,7.6,7,0.1,▲,-3.0,1.3
40,2020-06-11,8.2,2,0.6,▲,-2.0,7.9
41,2020-06-12,8.2,2,0.0,-,-2.0,0.0
42,2020-06-13,9.2,3,1.0,▲,-1.0,12.2
