,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-02-05,108.2,179,0.5,▲,-11.0,0.5,49.0,3113.0,ivara_prime_set
19,2020-02-05,52.8,95,1.4,▲,-5.0,2.7,12.0,1945.0,wukong_prime_set
25,2020-02-05,49.1,80,0.3,▲,-5.0,0.6,-5.0,1895.0,atlas_prime_set
3,2020-02-05,47.6,81,0.2,▲,-3.0,0.4,28.0,1609.0,mesa_prime_set
13,2020-02-05,126.3,66,0.1,▲,15.0,0.1,-19.0,1420.0,saryn_prime_set
1,2020-02-05,47.1,64,0.8,▲,1.0,1.7,2.0,1358.0,equinox_prime_set
7,2020-02-05,38.8,54,-0.1,▼,-7.0,-0.3,-11.0,1182.0,chroma_prime_set
2,2020-02-05,151.5,64,-0.5,▼,6.0,-0.3,18.0,1144.0,rhino_prime_set
5,2020-02-05,48.1,33,0.7,▲,4.0,1.5,-1.0,1093.0,limbo_prime_set
14,2020-02-05,58.7,36,-0.8,▼,10.0,-1.3,-4.0,1026.0,mirage_prime_set
